Date,2007,2008,2009,2010,2011,MAX,MIN,Difference
8-Jun,4962.113,8563.61,6343.194,8398.315,14707.32,8563.61,4962.113,3601.497
9-Jun,5670.244,7481.726,4743.834,6824.354,13734.459,7481.726,4743.834,2737.892
10-Jun,5668.928,6239.978,4749.635,8006.394,12487.709,8006.394,4749.635,3256.759
11-Jun,4669.988,4773.348,4530.732,8834.454,12224.888,8834.454,4530.732,4303.722
12-Jun,4683.148,3125.542,4587.96,9142.673,10701.651,9142.673,3125.542,6017.131
13-Jun,3849.808,3126.128,4730.072,8047.429,9629.894,8047.429,3126.128,4921.301
14-Jun,3848.648,3082.361,7227.392,8036.093,9670.602,8036.093,3082.361,4953.732
15-Jun,4530.428,3041.932,7115.922,6911.275,9619.85,7115.922,3041.932,4073.99
16-Jun,6461.388,2781.226,5226.456,5788.23,9444.95,6461.388,2781.226,3680.162
17-Jun,6228.838,2365.218,3980.842,5799.94,8782.25,6228.838,2365.218,3863.62
18-Jun,5013.808,2145.498,3970.412,6683.047,8208.814,6683.047,2145.498,4537.549
19-Jun,5009.638,2052.698,3911.451,4813.56,8598.69,5009.638,2052.698,2956.94
20-Jun,4894.538,1955.498,4042.302,6314.392,9201.86,6314.392,1955.498,4358.894
21-Jun,5694.038,1716.308,5145.858,5388.83,10676.23,5694.038,1716.308,3977.73
22-Jun,6080.678,1873.398,4749.604,4295.764,10317.71,6080.678,1873.398,4207.28
23-Jun,5894.42,1619.656,5749.314,4487.962,9353.894,5894.42,1619.656,4274.764
24-Jun,6428.334,697.328,5725.985,4244.314,8080.707,6428.334,697.328,5731.006
25-Jun,5879.198,535.088,5313.533,5569.163,7738.404,5879.198,535.088,5344.11
26-Jun,4568.548,755.949,4987.384,6124.28,7042.33,6124.28,755.949,5368.331
27-Jun,3514.378,471.512,3376.04,6402.894,9493.02,6402.894,471.512,5931.382
28-Jun,4447.758,2408.5,4574.943,5548.576,8385.37,5548.576,2408.5,3140.076
29-Jun,5344.318,3650.7,3568.231,4711.178,6496.998,5344.318,3568.231,1776.087
30-Jun,6502.058,3589.58,2860.809,4315.684,5939.92,6502.058,2860.809,3641.249
1-Jul,4980.188,2686.212,2741.052,3164.664,5129.99,4980.188,2686.212,2293.976
2-Jul,4993.393,1679.336,4432.633,2957.25,5036.61,4993.393,1679.336,3314.057
3-Jul,4289.008,1139.286,3301.442,3486.34,5060.39,4289.008,1139.286,3149.722
4-Jul,4316.622,871.877,2217.63,3283.15,4837.39,4316.622,871.877,3444.745
5-Jul,3976.052,1248.746,2245.04,2331.69,4671.66,3976.052,1248.746,2727.306
6-Jul,3651.568,1579.174,2191.78,2380.294,4425.61,3651.568,1579.174,2072.394
7-Jul,4256.668,1270.47,2150.625,2469.557,,4256.668,1270.47,2986.198
8-Jul,3691.448,1171.85,2338.44,2190.377,,3691.448,1171.85,2519.598
9-Jul,3386.888,856.784,2401.42,3265.505,,3386.888,856.784,2530.104
10-Jul,2754.788,547.916,2314.519,3068.339,,3068.339,547.916,2520.423
11-Jul,3439.488,491.776,2745.34,3805.43,,3805.43,491.776,3313.654
12-Jul,3454.656,1500.426,3006.78,3234.597,,3454.656,1500.426,1954.23
13-Jul,3441.311,2264.354,3809.521,3876.798,,3876.798,2264.354,1612.444
14-Jul,3569.989,1705.958,4296.848,4657.68,,4657.68,1705.958,2951.722
15-Jul,3069.1,1223.949,4535.03,4270.83,,4535.03,1223.949,3311.081
16-Jul,2836.503,1749.308,4588.01,5038.098,,5038.098,1749.308,3288.79
17-Jul,2785.195,1312.916,4542.037,6308.744,,6308.744,1312.916,4995.828
18-Jul,3404.428,714.934,3973.13,5529.43,,5529.43,714.934,4814.496
19-Jul,3253.178,513.23,5200.392,5672.523,,5672.523,513.23,5159.293
20-Jul,3159.998,522.797,5131.715,5167.45,,5167.45,522.797,4644.653
21-Jul,3570.728,512.451,4886.03,4361.595,,4886.03,512.451,4373.579
22-Jul,3261.098,542.024,4125.2,3927.556,,4125.2,542.024,3583.176
23-Jul,2638.508,319.754,3769.95,4182.769,,4182.769,319.754,3863.015
24-Jul,2323.598,1076.718,3424.17,4670.106,,4670.106,1076.718,3593.388
25-Jul,1887.848,1148.843,4127.781,5979.72,,5979.72,1148.843,4830.877
26-Jul,2239.638,1124.852,3791.54,5009.47,,5009.47,1124.852,3884.618
27-Jul,1967.398,1443.602,3075.693,4584.72,,4584.72,1443.602,3141.118
28-Jul,1657.698,1671.714,3339.67,4927.59,,4927.59,1657.698,3269.892
29-Jul,575.818,1125.534,2814.35,4391.68,,4391.68,575.818,3815.862
30-Jul,404.458,1215.528,2596.21,4658.218,,4658.218,404.458,4253.76
31-Jul,393.338,1017.948,2596.33,4714.556,,4714.556,393.338,4321.218
1-Aug,245.708,873.327,3944.74,5738.39,,5738.39,245.708,5492.682
2-Aug,464.988,938.497,4274.235,5380.42,,5380.42,464.988,4915.432
3-Aug,1149.438,1869.008,3756.01,5168.484,,5168.484,1149.438,4019.046
4-Aug,1737.176,2038.207,3421,5751.3,,5751.3,1737.176,4014.124
5-Aug,653.797,830.672,3421,5518.7,,5518.7,653.797,4864.903
6-Aug,698.123,762.522,3235.25,4994.59,,4994.59,698.123,4296.467
7-Aug,1466.333,1564.236,3644.77,3764.95,,3764.95,1466.333,2298.617
8-Aug,1971.573,2246.596,3527.1,3390.48,,3527.1,1971.573,1555.527
9-Aug,1295.041,4129.546,3603.98,4285.81,,4285.81,1295.041,2990.769
10-Aug,1131.661,5792.499,2895.34,3609.91,,5792.499,1131.661,4660.838
11-Aug,2374.128,4723.8,2539.39,3225.22,,4723.8,2374.128,2349.672
12-Aug,2655.666,4532.25,3436.48,3269.058,,4532.25,2655.666,1876.584
13-Aug,2740.526,4547.048,3445.13,3296.15,,4547.048,2740.526,1806.522
14-Aug,2393.851,3636.466,2525.898,4097.328,,4097.328,2393.851,1703.477
15-Aug,1506.724,3454.274,3486.53,6041.399,,6041.399,1506.724,4534.675
16-Aug,2014.095,3190.557,3690.51,5154.933,,5154.933,2014.095,3140.838
17-Aug,4045.361,4410.286,4712.815,7543.593,,7543.593,4045.361,3498.232
18-Aug,3372.913,5716.336,4620.23,7357.114,,7357.114,3372.913,3984.201
19-Aug,2616.327,4731.72,4629.97,6605.784,,6605.784,2616.327,3989.457
20-Aug,2214.338,4141.17,4623.23,5797.402,,5797.402,2214.338,3583.064
21-Aug,2769.328,4233.85,5290.06,5959.02,,5959.02,2769.328,3189.692
22-Aug,4041.823,4786.827,4749.219,6677.942,,6677.942,4041.823,2636.119
23-Aug,3813.656,4552.582,4848.305,5242.218,,5242.218,3813.656,1428.562
24-Aug,4897.983,4603.454,4459.75,3542.533,,4897.983,3542.533,1355.45
