"Area","Product","October_2016","November_2016","YTD_2015","YTD_2016","PctChgMonthAgo","PctChgYearAgo","PctChg_YTD"
"New Jersey","Conventional","-","-","-","-","-","-","-"
"New Jersey","Reformulated",43687,37933,463124,488121,-10.3,-10.6,5.1
"New Jersey","Total Distillate","W","W","W","W","W","W","W"
"New Jersey","No. 1 Distillate","W","W","W","W","W","W","NA"
"New Jersey","No. 2 Distillate",132698,149713,"W","W",16.6,2.7,"NA"
"New Jersey","No. 2 Fuel Oil",21858,33742,243016,324840,59.5,-3.4,33.3
"New Jersey","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"New Jersey","Ultra Low Sulfur","W","W","W","W","W","W","NA"
"New Jersey","Low Sulfur","-","-","W","W","-","-","NA"
"New Jersey","High Sulfur","W","W","W","W","W","W","NA"
"New Jersey","No. 4 Fuel","-","-","W","W","-","-","NA"
"New Jersey","Aviation Gasoline",132,146,"W","W",14.3,46.0,"NA"
"New Jersey","Kerosene-Type Jet Fu",71232,76095,1380872,1103793,10.4,-31.2,-20.3
"New Jersey","Kerosene","W","W","W","W","W","W","NA"
"New Jersey","Propane",6070,7287,76716,67391,24.1,18.1,-12.4
"New Jersey","Residual Fuel Oil",44833,44959,429677,522398,3.6,15.7,21.2
"New Jersey","Sulfur Content  <= 1",3241,888,"W","W",-71.7,,"NA"
"New Jersey","Sulfur Content  > 1",41592,44071,"W","W",9.5,,"NA"
"New York","Motor Gasoline",472115,474839,5025631,5208893,3.9,7.2,3.3
"New York","Regular",396327,401133,4247239,4369868,4.6,7.4,2.6
"New York","Conventional",173547,179157,1930667,2001131,6.7,6.8,3.3
